,Authors,Author(s) ID,Title,Affiliations,Authors with affiliations,Author Keywords
714,"lu h., schuldt j.p.",56326726700;25226021600;,Compassion for climate change victims and support for mitigation policy,"Department of Communication, Cornell University, United States","Lu, H., Department of Communication, Cornell University, United States; Schuldt, J.P., Department of Communication, Cornell University, United States",climate change; communication; compassion; emotional appeals; policy support
715,schwerhoff g.,55789854600;,The economics of leadership in climate change mitigation,"Potsdam Institute for Climate Impact Research, PO Box 601203, Potsdam, 14412, Germany","Schwerhoff, G., Potsdam Institute for Climate Impact Research, PO Box 601203, Potsdam, 14412, Germany",climate change; economic leadership; public good provision
716,"zheng j., jiang p., qiao w., zhu y., kennedy e.",56742515100;55710473700;56742772700;57221095715;55748818000;,Analysis of air pollution reduction and climate change mitigation in the industry sector of Yangtze River Delta in China,"Department of Environmental Science and Engineering, Fudan Tyndall Centre, Fudan University, Shanghai, 200433, China; Faculty of Social Sciences, Lund University, Lund, SE-221, Sweden","Zheng, J., Department of Environmental Science and Engineering, Fudan Tyndall Centre, Fudan University, Shanghai, 200433, China; Jiang, P., Department of Environmental Science and Engineering, Fudan Tyndall Centre, Fudan University, Shanghai, 200433, China; Qiao, W., Department of Environmental Science and Engineering, Fudan Tyndall Centre, Fudan University, Shanghai, 200433, China; Zhu, Y., Department of Environmental Science and Engineering, Fudan Tyndall Centre, Fudan University, Shanghai, 200433, China; Kennedy, E., Faculty of Social Sciences, Lund University, Lund, SE-221, Sweden",air pollution; co-benefits; gains-model; ghgs; industry sector; yangtze river delta
717,"kongsager r., locatelli b., chazarin f.",55353218800;8611587300;56236804000;,Addressing Climate Change Mitigation and Adaptation Together: A Global Assessment of Agriculture and Forestry Projects,"UNEP DTU Partnership on Energy, Environment and Sustainable Development, UN City, Marmorvej 51, Copenhagen O, 2100, Denmark; CIFOR, PO Box 1558, Lima, 15024, Peru; CIRAD BSEF, Avenue Agropolis, Montpellier Cedex 5, 34398, France","Kongsager, R., UNEP DTU Partnership on Energy, Environment and Sustainable Development, UN City, Marmorvej 51, Copenhagen O, 2100, Denmark; Locatelli, B., CIFOR, PO Box 1558, Lima, 15024, Peru, CIRAD BSEF, Avenue Agropolis, Montpellier Cedex 5, 34398, France; Chazarin, F., CIFOR, PO Box 1558, Lima, 15024, Peru",ecosystem services; emissions; landscape; livelihoods; redd+; vulnerability
718,keary m.,57050284600;,The new prometheans: Technological optimism in climate change mitigation modelling,"Centre for Preparatory Studies, Nazarbayev University, Block 2, 53 Kabanbay Batyr Avenue, Astana, 010000, Kazakhstan","Keary, M., Centre for Preparatory Studies, Nazarbayev University, Block 2, 53 Kabanbay Batyr Avenue, Astana, 010000, Kazakhstan",ecologism; social construction of technological change; sustainable development; technological change modelling; technological optimism
719,"damsø t., kjær t., christensen t.b.",57035384000;35199686700;55416188600;,Local climate action plans in climate change mitigation - examining the case of Denmark,"Department of Environmental, Social, and Spatial Change (ENSPAC), Roskilde University (RUC), Building 12.1, P.O.-Box 260, Roskilde, DK-4000, Denmark","Damsø, T., Department of Environmental, Social, and Spatial Change (ENSPAC), Roskilde University (RUC), Building 12.1, P.O.-Box 260, Roskilde, DK-4000, Denmark; Kjær, T., Department of Environmental, Social, and Spatial Change (ENSPAC), Roskilde University (RUC), Building 12.1, P.O.-Box 260, Roskilde, DK-4000, Denmark; Christensen, T.B., Department of Environmental, Social, and Spatial Change (ENSPAC), Roskilde University (RUC), Building 12.1, P.O.-Box 260, Roskilde, DK-4000, Denmark",governance; greenhouse gas; local governments; mitigation; municipalities; renewable energy
720,"georgiou m.c., bonanos a.m., georgiadis j.g.",56270414200;56614441500;7006037849;,Evaluation of a solar powered distillation unit as a mitigation to water scarcity and climate change in Cyprus,"Energy Environment and Water Research Center, The Cyprus Institute, Nicosia, 2121, Cyprus; Department of Mechanical Engineering, University of Illinois at Urbana-Champaign, Urbana, IL  61820, United States","Georgiou, M.C., Energy Environment and Water Research Center, The Cyprus Institute, Nicosia, 2121, Cyprus; Bonanos, A.M., Energy Environment and Water Research Center, The Cyprus Institute, Nicosia, 2121, Cyprus; Georgiadis, J.G., Energy Environment and Water Research Center, The Cyprus Institute, Nicosia, 2121, Cyprus, Department of Mechanical Engineering, University of Illinois at Urbana-Champaign, Urbana, IL  61820, United States",csp; desalination; multiple-effect distillation; performance ratio; solar thermal energy
721,"pandey s.s., cockfield g., maraseni t.n.",56020390100;6504435747;15126996400;,Assessing the roles of community forestry in climate change mitigation and adaptation: A case study from Nepal,"Institute for Agriculture and Environment, University of Southern Queensland, Australia","Pandey, S.S., Institute for Agriculture and Environment, University of Southern Queensland, Australia; Cockfield, G., Institute for Agriculture and Environment, University of Southern Queensland, Australia; Maraseni, T.N., Institute for Agriculture and Environment, University of Southern Queensland, Australia",carbon stock; climate change; community forests; livelihoods; redd+
722,"kaspersen b.s., christensen t.b., fredenslund a.m., møller h.b., butts m.b., jensen n.h., kjaer t.",56901402800;55416188600;23004025200;55521405100;7004354427;24487938100;35199686700;,Linking climate change mitigation and coastal eutrophication management through biogas technology: Evidence from a new Danish bioenergy concept,"Department of Environmental, Social and Spatial Change, Roskilde University, P.O. Box 260, DK, Roskilde, 4000, Denmark; DHI, Agern Alle 5, DK, Hoersholm, 2970, Denmark; Department of Environmental Engineering, Technical University of Denmark, Miljoevej, DK, Kongens Lyngby, 2800, Denmark; Department of Engineering, Aarhus University, Blichers Alle 20, DK, Tjele, 8830, Denmark","Kaspersen, B.S., Department of Environmental, Social and Spatial Change, Roskilde University, P.O. Box 260, DK, Roskilde, 4000, Denmark, DHI, Agern Alle 5, DK, Hoersholm, 2970, Denmark; Christensen, T.B., Department of Environmental, Social and Spatial Change, Roskilde University, P.O. Box 260, DK, Roskilde, 4000, Denmark; Fredenslund, A.M., Department of Environmental Engineering, Technical University of Denmark, Miljoevej, DK, Kongens Lyngby, 2800, Denmark; Møller, H.B., Department of Engineering, Aarhus University, Blichers Alle 20, DK, Tjele, 8830, Denmark; Butts, M.B., DHI, Agern Alle 5, DK, Hoersholm, 2970, Denmark; Jensen, N.H., Department of Environmental, Social and Spatial Change, Roskilde University, P.O. Box 260, DK, Roskilde, 4000, Denmark; Kjaer, T., Department of Environmental, Social and Spatial Change, Roskilde University, P.O. Box 260, DK, Roskilde, 4000, Denmark",agriculture; anaerobic digestion; biogas; climate change mitigation; eutrophication; greenhouse gas (ghg); nutrients; water framework directive
723,"locatelli b., fedele g., fayolle v., baglee a.",8611587300;56884231900;57041131900;57041212700;,Synergies between adaptation and mitigation in climate change finance,"Agricultural Research for Development (CIRAD), Center for International Forestry Research (CIFOR), Lima, Peru; Center for International Forestry Research (CIFOR), Bogor, Indonesia; Acclimatise, Oxford, United Kingdom; Acclimatise, Cardiff, United Kingdom","Locatelli, B., Agricultural Research for Development (CIRAD), Center for International Forestry Research (CIFOR), Lima, Peru; Fedele, G., Center for International Forestry Research (CIFOR), Bogor, Indonesia; Fayolle, V., Acclimatise, Oxford, United Kingdom; Baglee, A., Acclimatise, Cardiff, United Kingdom",agriculture; forest; funding; policy; trade-off; vulnerability
724,"akbari h., cartalis c., kolokotsa d., muscio a., pisello a.l., rossi f., santamouris m., synnefa a., wong n.h., zinzi m.",35355580500;7003644931;36337762700;6701623729;54896291600;7401756467;7006575535;14049323300;7202836613;13004336500;,Local climate change and urban heat island mitigation techniques - The state of the art,"Concordia University, 1455 De Maisonneuve Blvd. W., Montreal, QC, Canada; National and Kapodistrian University of Athens, 30 Panepistimiou Ave, Athens, 106 79, Greece; Technical University of Crete, University Campus, Akrotiri, Chania, 73100, Greece; University of Modena and Reggio Emilia, Via Università, 4, Modena MO, 41121, Italy; University of Perugia, Piazza Università, 1, Perugia, 06100, Italy; National University Singapore, 21 Lower Kent Ridge Rd, Singapore, Singapore; ENEA: Italian National Agency for New Technologies,Energy and Sustainable Economic Development, Lungotevere Thaon di Revel, Rome, 76-00196, Italy","Akbari, H., Concordia University, 1455 De Maisonneuve Blvd. W., Montreal, QC, Canada; Cartalis, C., National and Kapodistrian University of Athens, 30 Panepistimiou Ave, Athens, 106 79, Greece; Kolokotsa, D., Technical University of Crete, University Campus, Akrotiri, Chania, 73100, Greece; Muscio, A., University of Modena and Reggio Emilia, Via Università, 4, Modena MO, 41121, Italy; Pisello, A.L., University of Perugia, Piazza Università, 1, Perugia, 06100, Italy; Rossi, F., University of Perugia, Piazza Università, 1, Perugia, 06100, Italy; Santamouris, M., National and Kapodistrian University of Athens, 30 Panepistimiou Ave, Athens, 106 79, Greece; Synnefa, A., National and Kapodistrian University of Athens, 30 Panepistimiou Ave, Athens, 106 79, Greece; Wong, N.H., National University Singapore, 21 Lower Kent Ridge Rd, Singapore, Singapore; Zinzi, M., ENEA: Italian National Agency for New Technologies,Energy and Sustainable Economic Development, Lungotevere Thaon di Revel, Rome, 76-00196, Italy",adaptation; cool materials; mitigation; urban heat island
725,fassbinder s.d.,24448024800;,Climate change mitigation in fantasy and reality,"DeVry University, Chicago, IL, United States","Fassbinder, S.D., DeVry University, Chicago, IL, United States",accounting; climate; mitigation; money fantasy; sustainable; utopia
726,"sebos i., progiou a., kallinikos l., eleni p., katsavou i., mangouta k., ziomas i.",6506866708;35788194800;6505854378;18433539000;35183305200;57201366373;7004496797;,Mitigation and adaptation policies related to climate change in Greece,"Department of Chemical Engineering, National Technical University of Athens, Zografou Campus, 9 Heroon Polytechniou Street, Zografou, 15780, Greece","Sebos, I., Department of Chemical Engineering, National Technical University of Athens, Zografou Campus, 9 Heroon Polytechniou Street, Zografou, 15780, Greece; Progiou, A., Department of Chemical Engineering, National Technical University of Athens, Zografou Campus, 9 Heroon Polytechniou Street, Zografou, 15780, Greece; Kallinikos, L., Department of Chemical Engineering, National Technical University of Athens, Zografou Campus, 9 Heroon Polytechniou Street, Zografou, 15780, Greece; Eleni, P., Department of Chemical Engineering, National Technical University of Athens, Zografou Campus, 9 Heroon Polytechniou Street, Zografou, 15780, Greece; Katsavou, I., Department of Chemical Engineering, National Technical University of Athens, Zografou Campus, 9 Heroon Polytechniou Street, Zografou, 15780, Greece; Mangouta, K., Department of Chemical Engineering, National Technical University of Athens, Zografou Campus, 9 Heroon Polytechniou Street, Zografou, 15780, Greece; Ziomas, I., Department of Chemical Engineering, National Technical University of Athens, Zografou Campus, 9 Heroon Polytechniou Street, Zografou, 15780, Greece",adaptation; climate change; mitigation
